Pais,Equipe,PastaColecao,Arquivo,CaminhoRelativo,Extensao,TamanhoBytes
brasil,atletico,novita_008.jpg,novita_008.jpg,camisas/brasil/atletico/novita_008.jpg,.jpg,28974
brasil,atletico,nuove 001.jpg,nuove 001.jpg,camisas/brasil/atletico/nuove 001.jpg,.jpg,30804
brasil,atletico,nuove 002.jpg,nuove 002.jpg,camisas/brasil/atletico/nuove 002.jpg,.jpg,31995
brasil,atletico,nuove 003.jpg,nuove 003.jpg,camisas/brasil/atletico/nuove 003.jpg,.jpg,32732
brasil,atletico,nuove 004.jpg,nuove 004.jpg,camisas/brasil/atletico/nuove 004.jpg,.jpg,32583
brasil,atletico,nuove 005.jpg,nuove 005.jpg,camisas/brasil/atletico/nuove 005.jpg,.jpg,29788
brasil,atletico,nuove 006.jpg,nuove 006.jpg,camisas/brasil/atletico/nuove 006.jpg,.jpg,33279
brasil,atletico,nuove 007.jpg,nuove 007.jpg,camisas/brasil/atletico/nuove 007.jpg,.jpg,33696
brasil,atletico,Pict0127.JPG,Pict0127.JPG,camisas/brasil/atletico/Pict0127.JPG,.jpg,26882
brasil,atletico,Pict0128.JPG,Pict0128.JPG,camisas/brasil/atletico/Pict0128.JPG,.jpg,26263
