CaminhoRelativo,Motivo,TamanhoBytes
webalizer/hourly_usage_201101.png,technical-root,2258
webalizer/hourly_usage_201102.png,technical-root,2230
webalizer/hourly_usage_201103.png,technical-root,2193
webalizer/hourly_usage_201104.png,technical-root,2210
webalizer/hourly_usage_201105.png,technical-root,2214
webalizer/hourly_usage_201106.png,technical-root,2194
webalizer/hourly_usage_201107.png,technical-root,2185
webalizer/hourly_usage_201108.png,technical-root,2253
webalizer/hourly_usage_201109.png,technical-root,2253
webalizer/hourly_usage_201110.png,technical-root,2159
webalizer/hourly_usage_201111.png,technical-root,2213
webalizer/hourly_usage_201112.png,technical-root,2203
webalizer/hourly_usage_201201.png,technical-root,2275
webalizer/hourly_usage_201202.png,technical-root,2229
webalizer/hourly_usage_201203.png,technical-root,2250
webalizer/hourly_usage_201204.png,technical-root,2274
webalizer/hourly_usage_201205.png,technical-root,2150
webalizer/hourly_usage_201206.png,technical-root,2208
webalizer/hourly_usage_201207.png,technical-root,2174
webalizer/hourly_usage_201208.png,technical-root,2233
webalizer/hourly_usage_201209.png,technical-root,2264
webalizer/hourly_usage_201210.png,technical-root,2208
webalizer/hourly_usage_201211.png,technical-root,2267
webalizer/hourly_usage_201212.png,technical-root,2208
webalizer/hourly_usage_201301.png,technical-root,2216
webalizer/hourly_usage_201302.png,technical-root,2198
webalizer/hourly_usage_201303.png,technical-root,2180
webalizer/hourly_usage_201304.png,technical-root,2179
webalizer/hourly_usage_201305.png,technical-root,2210
webalizer/hourly_usage_201306.png,technical-root,2269
webalizer/hourly_usage_201307.png,technical-root,2220
webalizer/hourly_usage_201308.png,technical-root,2226
webalizer/hourly_usage_201309.png,technical-root,2231
webalizer/hourly_usage_201310.png,technical-root,2270
webalizer/hourly_usage_201311.png,technical-root,2239
webalizer/hourly_usage_201312.png,technical-root,2264
webalizer/hourly_usage_201401.png,technical-root,2233
webalizer/hourly_usage_201402.png,technical-root,2277
webalizer/hourly_usage_201403.png,technical-root,2214
webalizer/hourly_usage_201404.png,technical-root,2190
webalizer/hourly_usage_201405.png,technical-root,2061
webalizer/hourly_usage_201406.png,technical-root,2228
webalizer/hourly_usage_201407.png,technical-root,2197
webalizer/hourly_usage_201408.png,technical-root,2280
webalizer/hourly_usage_201409.png,technical-root,2267
webalizer/hourly_usage_201410.png,technical-root,2222
webalizer/hourly_usage_201411.png,technical-root,2225
webalizer/hourly_usage_201412.png,technical-root,2243
webalizer/hourly_usage_201501.png,technical-root,2237
webalizer/hourly_usage_201502.png,technical-root,2222
webalizer/hourly_usage_201503.png,technical-root,2198
webalizer/hourly_usage_201504.png,technical-root,2262
webalizer/hourly_usage_201505.png,technical-root,2238
webalizer/hourly_usage_201506.png,technical-root,2172
webalizer/hourly_usage_201507.png,technical-root,2215
webalizer/hourly_usage_201508.png,technical-root,2234
webalizer/hourly_usage_201509.png,technical-root,2290
webalizer/hourly_usage_201510.png,technical-root,2201
webalizer/hourly_usage_201511.png,technical-root,2247
webalizer/hourly_usage_201512.png,technical-root,2210
webalizer/hourly_usage_201601.png,technical-root,2234
webalizer/hourly_usage_201602.png,technical-root,2231
webalizer/hourly_usage_201603.png,technical-root,2260
webalizer/hourly_usage_201604.png,technical-root,2268
webalizer/hourly_usage_201605.png,technical-root,2219
webalizer/hourly_usage_201606.png,technical-root,2211
webalizer/hourly_usage_201607.png,technical-root,2203
webalizer/hourly_usage_201608.png,technical-root,2234
webalizer/hourly_usage_201609.png,technical-root,2234
webalizer/hourly_usage_201610.png,technical-root,2206
webalizer/hourly_usage_201611.png,technical-root,2211
webalizer/hourly_usage_201612.png,technical-root,2201
webalizer/hourly_usage_201701.png,technical-root,2227
webalizer/hourly_usage_201702.png,technical-root,2193
webalizer/hourly_usage_201703.png,technical-root,2189
webalizer/hourly_usage_201704.png,technical-root,2272
webalizer/hourly_usage_201705.png,technical-root,2212
webalizer/hourly_usage_201706.png,technical-root,2179
webalizer/hourly_usage_201707.png,technical-root,2206
webalizer/hourly_usage_201708.png,technical-root,2235
