item_id,identity,team_path,collection_before,collection_target,stable_key,item_slug,public_slug,route_before,route_target_provisional,reason,authorization_class
42587,paises/brasil/atletico/2017.htm#editorial:hx001:table-123:description-table-132,paises/brasil/atletico,camisas/brasil/atletico/07_17,camisas/brasil/atletico/11_17,item:0c69765ac7a981820bb48cb7cadd65212d50742646c42ce78f0e41e67290332e,2017,2017-75f716,/items/brasil/teams/atletico/collections/07-17/2017-75f716,/items/brasil/teams/atletico/collections/11-17/2017-75f716,unique record references,ET028_EXCLUSIVE
42589,paises/brasil/atletico/2017.htm#editorial:hx001:table-167:description-table-176,paises/brasil/atletico,camisas/brasil/atletico/07_17,camisas/brasil/atletico/02_22,item:b829da9360bb829a7c0f9e3f1d615a132d4b677dcfd53029db49b96db790b0fb,2017,2017-eb01a3,/items/brasil/teams/atletico/collections/07-17/2017-eb01a3,/items/brasil/teams/atletico/collections/02-22/2017-eb01a3,unique record references,ET028_EXCLUSIVE
42590,paises/brasil/atletico/2017.htm#editorial:hx001:table-190:description-table-199,paises/brasil/atletico,camisas/brasil/atletico/07_17,camisas/brasil/atletico/11_17,item:900db3f4fbbd2b48282f648e7a013fd8ecc89c4b471675c7b1fd5c1747db5427,2017,2017-a84e6f,/items/brasil/teams/atletico/collections/07-17/2017-a84e6f,/items/brasil/teams/atletico/collections/11-17/2017-a84e6f,unique record references,ET028_EXCLUSIVE
42592,paises/brasil/atletico/2017.htm#editorial:hx001:table-234:description-table-243,paises/brasil/atletico,camisas/brasil/atletico/07_17,camisas/brasil/atletico/01_18,item:d2404132952063dbd1731884e1255227ee8b9fbadc69ac456b49078afe9c4c57,2017,2017-4c3af5,/items/brasil/teams/atletico/collections/07-17/2017-4c3af5,/items/brasil/teams/atletico/collections/01-18/2017-4c3af5,unique record references,ET028_EXCLUSIVE
42593,paises/brasil/atletico/2017.htm#editorial:hx001:table-256:description-table-265,paises/brasil/atletico,camisas/brasil/atletico/07_17,camisas/brasil/atletico/11_17,item:cc7a39cbc912e94cef26cd05c5d847fc593a459c52081115cb4a03549d7833b9,2017,2017-31a182,/items/brasil/teams/atletico/collections/07-17/2017-31a182,/items/brasil/teams/atletico/collections/11-17/2017-31a182,unique record references,ET028_EXCLUSIVE
42595,paises/brasil/atletico/2017.htm#editorial:hx001:table-300:description-table-309,paises/brasil/atletico,camisas/brasil/atletico/07_17,camisas/brasil/atletico/11_17,item:b7bac5a6c83a76219ffa7652311cab4d19fe3621705c0ca13e9b671ead53424b,2017,2017-8a71e3,/items/brasil/teams/atletico/collections/07-17/2017-8a71e3,/items/brasil/teams/atletico/collections/11-17/2017-8a71e3,unique record references,ET028_EXCLUSIVE
42599,paises/brasil/atletico/2018.htm#editorial:hx001:table-80:description-table-89,paises/brasil/atletico,camisas/brasil/atletico/07_18,camisas/brasil/atletico/08_18,item:d0a13a6b88c3cd16bc53ab1f35574b0469f95d353766b723ced1f107d6be402c,2018,2018-3d96f0,/items/brasil/teams/atletico/collections/07-18/2018-3d96f0,/items/brasil/teams/atletico/collections/08-18/2018-3d96f0,unique record references,ET028_EXCLUSIVE
42600,paises/brasil/atletico/2018.htm#editorial:hx001:table-103:description-table-112,paises/brasil/atletico,camisas/brasil/atletico/07_18,camisas/brasil/atletico/08_18,item:71d263b584c25db7ecdc3cfebb380defe7883ff3f612c74e23a19ae59062a826,2018,2018-c910e0,/items/brasil/teams/atletico/collections/07-18/2018-c910e0,/items/brasil/teams/atletico/collections/08-18/2018-c910e0,unique record references,ET028_EXCLUSIVE
42602,paises/brasil/atletico/2018.htm#editorial:hx001:table-148:description-table-157,paises/brasil/atletico,camisas/brasil/atletico/07_18,camisas/brasil/atletico/10_18,item:b106f2d1397e14af6c8acec89d07d3d1528bf5077c7ddb2f36309ac796597bf2,2018,2018-52582b,/items/brasil/teams/atletico/collections/07-18/2018-52582b,/items/brasil/teams/atletico/collections/10-18/2018-52582b,unique record references,ET028_EXCLUSIVE
42603,paises/brasil/atletico/2018.htm#editorial:hx001:table-171:description-table-180,paises/brasil/atletico,camisas/brasil/atletico/07_18,camisas/brasil/atletico/10_18,item:78080d155a073193be9a35beb7e4307ba5893265a59e866666af6a42bc24ebff,2018,2018-f46ed7,/items/brasil/teams/atletico/collections/07-18/2018-f46ed7,/items/brasil/teams/atletico/collections/10-18/2018-f46ed7,unique record references,ET028_EXCLUSIVE
42604,paises/brasil/atletico/2018.htm#editorial:hx001:table-194:description-table-203,paises/brasil/atletico,camisas/brasil/atletico/07_18,camisas/brasil/atletico/10_18,item:4d0405220159af1e8c420cb150963f93a2c7d3e6f1e675d942a2fd98f00434d9,2018,2018-660773,/items/brasil/teams/atletico/collections/07-18/2018-660773,/items/brasil/teams/atletico/collections/10-18/2018-660773,unique record references,ET028_EXCLUSIVE
42605,paises/brasil/atletico/2018.htm#editorial:hx001:table-217:description-table-226,paises/brasil/atletico,camisas/brasil/atletico/07_18,camisas/brasil/atletico/03_19,item:d75e49a68a2e61489aac10a4631c12b7846f07158733a3b1a345c12072b27c8d,2018,2018-0337ca,/items/brasil/teams/atletico/collections/07-18/2018-0337ca,/items/brasil/teams/atletico/collections/03-19/2018-0337ca,unique record references,ET028_EXCLUSIVE
42606,paises/brasil/atletico/2018.htm#editorial:hx001:table-240:description-table-249,paises/brasil/atletico,camisas/brasil/atletico/07_18,camisas/brasil/atletico/01_19,item:ced9c564b625a79a7c86dc8953f3fc9d7f71a629f76e469763e8483fc696621a,2018,2018-cceb9f,/items/brasil/teams/atletico/collections/07-18/2018-cceb9f,/items/brasil/teams/atletico/collections/01-19/2018-cceb9f,unique record references,ET028_EXCLUSIVE
42607,paises/brasil/atletico/2018.htm#editorial:hx001:table-263:description-table-272,paises/brasil/atletico,camisas/brasil/atletico/07_18,camisas/brasil/atletico/01_19,item:469ab89c7e946992a01a687cbac5519ca23687ea5c098b5ed1c6490251a0b3b8,2018,2018-df03bb,/items/brasil/teams/atletico/collections/07-18/2018-df03bb,/items/brasil/teams/atletico/collections/01-19/2018-df03bb,unique record references,ET028_EXCLUSIVE
42608,paises/brasil/atletico/2018.htm#editorial:hx001:table-286:description-table-295,paises/brasil/atletico,camisas/brasil/atletico/07_18,camisas/brasil/atletico/03_19,item:c03a3ff7d022c0bebc0cd8e266d39b7512ee5122ddc30379054ffcfebd35fc2e,2018,2018-18048e,/items/brasil/teams/atletico/collections/07-18/2018-18048e,/items/brasil/teams/atletico/collections/03-19/2018-18048e,unique record references,ET028_EXCLUSIVE
42609,paises/brasil/atletico/2018.htm#editorial:hx001:table-310:description-table-319,paises/brasil/atletico,camisas/brasil/atletico/07_18,camisas/brasil/atletico/03_19,item:6190a8bb25075dd23d13c2f8470115bbadfb75b21b06e3a611ad1442beeda76f,2018,2018-aaace8,/items/brasil/teams/atletico/collections/07-18/2018-aaace8,/items/brasil/teams/atletico/collections/03-19/2018-aaace8,unique record references,ET028_EXCLUSIVE
